year,base,type
2022,6.5,vendor
2019,4.4,vendor
2022,6.7,vendor
2023,7.8,vendor
2020,7.8,vendor
2018,8.8,vendor
2020,7.0,vendor
2017,7.8,vendor
2021,7.2,vendor
2021,6.5,vendor
2021,6.4,vendor
2023,3.9,vendor
2018,8.1,vendor
2022,6.5,vendor
2023,6.7,vendor
2021,7.0,vendor
2016,5.6,vendor
2022,8.8,vendor
2021,7.1,vendor
2019,7.0,vendor
2023,7.5,vendor
2021,7.8,vendor
2019,10,vendor
2023,7.2,vendor
2017,8.1,vendor
2019,7.8,vendor
2020,8.8,vendor
2023,9.8,vendor
2022,4.0,vendor
2020,7.8,vendor
2021,8.1,vendor
2019,7.2,vendor
2022,5.5,vendor
2022,8.8,vendor
2019,7.5,vendor
2017,4.4,vendor
2022,7.8,vendor
2021,7.8,vendor
2023,7.8,vendor
2023,4.3,vendor
2023,7.2,vendor
2021,3.8,vendor
2017,5.5,vendor
2021,7.1,vendor
2020,4.7,vendor
2020,8.8,vendor
2021,5.9,vendor
2019,9.8,vendor
2023,7.8,vendor
2020,8.8,vendor
2020,7.8,vendor
2021,7.0,vendor
2022,6.5,vendor
2021,7.5,vendor
2021,7.5,vendor
2019,7.8,vendor
2022,6.6,vendor
2022,6.5,vendor
2021,5.6,vendor
2023,6.7,vendor
2021,8.8,vendor
2021,6.5,vendor
2021,5.5,vendor
2020,9.3,vendor
2020,7.8,vendor
2018,8.2,vendor
2021,7.8,vendor
2021,7.0,vendor
2019,9.8,vendor
2020,6.2,vendor
2022,7.8,vendor
2017,8.8,vendor
2023,5.5,vendor
2019,5.5,vendor
2021,9.8,vendor
2022,8.8,vendor
2022,4.5,vendor
2019,8.1,vendor
2016,5.5,vendor
2017,7.8,vendor
2022,4.4,vendor
2023,5.3,vendor
2021,8.8,vendor
2018,6.5,vendor
2017,9.8,vendor
2021,7.8,vendor
2021,7.1,vendor
2020,6.2,vendor
2019,5.6,vendor
2021,7.5,vendor
2016,4.9,vendor
2019,6.1,vendor
2023,6.6,vendor
2021,7.5,vendor
2021,7.0,vendor
2019,7.8,vendor
2023,7.5,vendor
2023,8.8,vendor
2021,8.8,vendor
2020,8.8,vendor
2023,4.3,vendor
2022,7.8,vendor
2019,7.5,vendor
2023,6.7,vendor
2017,5.9,vendor
2018,7.8,vendor
2022,8.8,vendor
2021,7.3,vendor
2017,7.3,vendor
2020,5.03,vendor
2021,7.8,vendor
2021,8.1,vendor
2020,9.1,vendor
2017,9.8,vendor
2020,9.8,vendor
2021,9.8,vendor
2019,5.5,vendor
2019,8.8,vendor
2017,5.6,vendor
2019,7.8,vendor
2021,7.1,vendor
2020,7.0,vendor
2023,7.5,vendor
2023,4.3,vendor
2019,7.8,vendor
2023,7.8,vendor
2023,6.1,vendor
2020,7.8,vendor
2017,9.1,vendor
2022,8.0,vendor
2022,5.3,vendor
2023,6.5,vendor
2021,7.5,vendor
2021,8.1,vendor
2023,7.8,vendor
2019,7.8,vendor
2021,9.8,vendor
2022,6.5,vendor
2023,8.1,vendor
2018,7.8,vendor
2023,5.5,vendor
2023,7.2,vendor
2022,7.5,vendor
2022,9.8,vendor
2020,7.5,vendor
2016,4.7,vendor
2020,8.8,vendor
2023,3.5,vendor
2023,4.7,vendor
2022,7.8,vendor
2017,8.1,vendor
2019,7.2,vendor
2021,8.8,vendor
2019,7.8,vendor
2022,7.5,vendor
2022,8.2,vendor
2019,7.0,vendor
2019,6.8,vendor
2019,7.1,vendor
2021,7.0,vendor
2021,6.6,vendor
2020,7.2,vendor
2019,5.5,vendor
2021,6.5,vendor
2023,6.7,vendor
2022,7.8,vendor
2023,8.2,vendor
2023,7.8,vendor
2022,8.8,vendor
2021,6.5,vendor
2022,8.8,vendor
2016,7.8,vendor
2023,3.4,vendor
2023,7.0,vendor
2020,8.8,vendor
2018,7.8,vendor
2022,7.5,vendor
2023,4.3,vendor
2022,7.8,vendor
2016,7.8,vendor
2022,7.3,vendor
2022,8.1,vendor
2020,7.8,vendor
2019,6.6,vendor
2023,5.4,vendor
2016,9.8,vendor
2017,7.5,vendor
2023,6.7,vendor
2019,7.9,vendor
2016,7.0,vendor
2019,7.5,vendor
2020,8.8,vendor
2019,4.4,vendor
2019,5.5,vendor
2023,6.7,vendor
2018,7.8,vendor
2022,7.8,vendor
2016,7.8,vendor
2020,9.8,vendor
2018,5.5,vendor
2016,5.5,vendor
2016,7.8,vendor
2017,5.3,vendor
2022,7.5,vendor
2017,8.8,vendor
2022,7.5,vendor
2021,5.5,vendor
2023,6.5,vendor
2021,7.5,vendor
2017,7.3,vendor
2020,7.6,vendor
2021,7.0,vendor
2023,6.5,vendor
2021,7.5,vendor
2023,8.8,vendor
2021,6.5,vendor
2017,8.1,vendor
2017,7.8,vendor
2017,5.5,vendor
2022,8.1,vendor
2022,6.6,vendor
2020,7.8,vendor
2020,7.8,vendor
2018,8.2,vendor
2019,4.6,vendor
2020,9.9,vendor
2022,7.8,vendor
2022,7.8,vendor
2019,8.1,vendor
2022,7.8,vendor
2019,7.8,vendor
2019,7.5,vendor
2021,9.8,vendor
2021,7.8,vendor
2023,6.5,vendor
2022,5.5,vendor
2021,6.0,vendor
2021,5.9,vendor
2021,8.1,vendor
2020,7.8,vendor
2020,9.1,vendor
2023,2.7,vendor
2016,9.8,vendor
2020,7.3,vendor
2022,7.0,vendor
2019,6.7,vendor
2021,7.7,vendor
2019,4.4,vendor
2020,7.8,vendor
2023,4.8,vendor
2023,7.8,vendor
2023,5.5,vendor
2017,7.8,vendor
2020,5.9,vendor
2017,7.8,vendor
2018,7.5,vendor
2021,9.1,vendor
2020,7.8,vendor
2017,5.5,vendor
2021,6.7,vendor
2016,5.9,vendor
2023,7.8,vendor
2022,6.5,vendor
2016,7.5,vendor
2017,9.8,vendor
2023,7.8,vendor
2017,5.9,vendor
2023,9.8,vendor
2020,7.8,vendor
2016,5.5,vendor
2020,7.5,vendor
2020,7.8,vendor
2023,8.1,vendor
2016,5.9,vendor
2023,6.7,vendor
2022,2.7,vendor
2022,3.9,vendor
2017,7.8,vendor
2020,7.8,vendor
2016,3.3,vendor
2020,7.8,vendor
2020,6.8,vendor
2019,8.6,vendor
2022,7.8,vendor
2023,7.3,vendor
2020,7.8,vendor
2023,8.8,vendor
2016,4.3,vendor
2020,6.4,vendor
2021,9.0,vendor
2023,4.3,vendor
2017,7.8,vendor
2022,6.5,vendor
2017,8.8,vendor
2020,5.3,vendor
2022,5.3,vendor
2017,3.5,vendor
2016,5.9,vendor
2016,4.4,vendor
2021,8.8,vendor
2021,6.4,vendor
2021,4.6,vendor
2016,7.8,vendor
2023,6.3,vendor
2021,9.8,vendor
2022,4.9,vendor
2019,7.8,vendor
2022,8.8,vendor
2020,9.8,vendor
2019,6.7,vendor
2016,8.8,vendor
2021,7.1,vendor
2019,5.3,vendor
2019,6.7,vendor
2016,8.1,vendor
2022,7.8,vendor
2020,8.8,vendor
2022,5.3,vendor
2016,7.8,vendor
2019,9.8,vendor
2016,7.5,vendor
2017,7.0,vendor
2020,8.8,vendor
2022,7.8,vendor
2023,7.5,vendor
2021,7.8,vendor
2023,7.8,vendor
2019,7.8,vendor
2020,7.8,vendor
2020,7.1,vendor
2019,7.5,vendor
2021,6.7,vendor
2019,4.4,vendor
2019,7.3,vendor
2020,9.9,vendor
2016,7.5,vendor
2020,8.3,vendor
2017,2.9,vendor
2019,8.8,vendor
2018,6.5,vendor
2017,8.1,vendor
2016,7.2,vendor
2020,7.6,vendor
2023,7.8,vendor
2022,7.3,vendor
2023,6.7,vendor
2019,5.4,vendor
2021,9.9,vendor
2021,7.8,vendor
2021,9.8,vendor
2020,6.5,vendor
2022,8.1,vendor
2021,7.8,vendor
2021,7.3,vendor
2017,7.4,vendor
2023,7.8,vendor
2022,6.5,vendor
2020,8.7,vendor
2019,6.5,vendor
2023,8.8,vendor
2021,6.4,vendor
2023,5.3,vendor
2020,9.8,vendor
2021,3.7,vendor
2023,6.3,vendor
2019,7.8,vendor
2017,6.5,vendor
2022,6.5,vendor
2023,7.2,vendor
2022,5.9,vendor
2023,9.8,vendor
2019,9.8,vendor
2020,9.8,vendor
2016,8.1,vendor
2020,5.5,vendor
2021,7.5,vendor
2017,8.8,vendor
2018,7.5,vendor
2022,7.7,vendor
2023,6.7,vendor
2018,8.8,vendor
2023,7.5,vendor
2022,4.5,vendor
2019,7.5,vendor
2016,5.0,vendor
2016,7.5,vendor
2021,7.2,vendor
2020,5.3,vendor
2019,7.8,vendor
2023,9.1,vendor
2020,8.1,vendor
2023,5.5,vendor
2022,7.5,vendor
2019,4.3,vendor
2020,6.6,vendor
2023,8.5,vendor
2022,5.9,vendor
2022,7.8,vendor
2017,9.8,vendor
2017,7.8,vendor
2016,5.5,vendor
2022,8.1,vendor
2020,8.8,vendor
2021,3.8,vendor
2022,8.3,vendor
2018,7.8,vendor
2018,9.0,vendor
2020,6.3,vendor
2022,7.8,vendor
2021,8.6,vendor
2022,7.8,vendor
2022,7.8,vendor
2020,6.8,vendor
2019,7.1,vendor
2020,8.1,vendor
2020,6.7,vendor
2020,9.8,vendor
2019,9.8,vendor
2023,9.8,vendor
2018,5.1,vendor
2023,6.7,vendor
2023,7.5,vendor
